A0A2U8UYM6	A0A2U8UYM6
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A1L6K5Y8-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-Q9AEF9-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	A0A0C5LDH9
AF-A0A1L6K5Y8-F1-model_v4	A0A059Q5E8
AF-A0A1L6K5Y8-F1-model_v4	B5DCA0
AF-A0A1L6K5Y8-F1-model_v4	B5L5V2
AF-A0A1L6K5Y8-F1-model_v4	B5L5V3
AF-A0A1L6K5Y8-F1-model_v4	PJM-1
AF-A0A1L6K5Y8-F1-model_v4	A0A0C5LQ34
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A1L5BQA7-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-K4GMG4-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-K4GMG9-F1-model_v6
AF-A0A1L6K5Y8-F1-model_v4	AF-K4GMK0-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-Q6D395-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	B3SU1
AF-A0A1L6K5Y8-F1-model_v4	B5L5V9
AF-A0A1L6K5Y8-F1-model_v4	B5L5W3
AF-A0A1L6K5Y8-F1-model_v4	ECM-1
AF-A0A1L6K5Y8-F1-model_v4	AF-K4GMF9-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	B5L5V0
AF-A0A1L6K5Y8-F1-model_v4	NWM
AF-A0A1L6K5Y8-F1-model_v4	G5ELM3
AF-A0A1L6K5Y8-F1-model_v4	A0A386JBC5
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A1L6K5Z9-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	GRD33
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A1L6K5Z8-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	Q6DTI4
AF-A0A1L6K5Y8-F1-model_v4	A0A0C5L392
AF-A0A1L6K5Y8-F1-model_v4	A0A0C5LDD5
AF-A0A1L6K5Y8-F1-model_v4	A0A0C5LDD9
AF-A0A1L6K5Y8-F1-model_v4	A0A0C5LQ44
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A0D0GMS0-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	B5L5V5
AF-A0A1L6K5Y8-F1-model_v4	Q4JRB6
AF-A0A1L6K5Y8-F1-model_v4	Q5EEU4
AF-A0A1L6K5Y8-F1-model_v4	Q5S4Q5
AF-A0A1L6K5Y8-F1-model_v4	Q6DTI5
AF-A0A1L6K5Y8-F1-model_v4	Q6DTI7
AF-A0A1L6K5Y8-F1-model_v4	Q6DTI8
AF-A0A1L6K5Y8-F1-model_v4	Q6DTI9
AF-A0A1L6K5Y8-F1-model_v4	Q6DTJ0
AF-A0A1L6K5Y8-F1-model_v4	Q6V8J2
AF-A0A1L6K5Y8-F1-model_v4	Q9KJB1
AF-A0A1L6K5Y8-F1-model_v4	Q9KJB2
AF-A0A1L6K5Y8-F1-model_v4	Q9KJB3
AF-A0A1L6K5Y8-F1-model_v4	Q9KJB4
AF-A0A1L6K5Y8-F1-model_v4	Q9KJB5
AF-A0A1L6K5Y8-F1-model_v4	Q9KJB6
AF-A0A1L6K5Y8-F1-model_v4	Q9RB00
AF-A0A1L6K5Y8-F1-model_v4	Q8KKG1
AF-A0A1L6K5Y8-F1-model_v4	MBL1b
AF-A0A1L6K5Y8-F1-model_v4	Q9JRP7
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A0D6SYW3-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A1L6K5X8-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-A0A4D6P0I4-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-A8GGW7-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	AF-Q89GW5-F1-model_v4
AF-A0A1L6K5Y8-F1-model_v4	U3U4Q6
AF-A0A1L6K5Y8-F1-model_v4	Q9K578
AF-A0A1L6K5Y8-F1-model_v4	B3SU2
AF-A0A1L6K5Y8-F1-model_v4	B5L5X0
